,event_hash,variable,place_hash,name_cleaner_a,name_cleaner_b,rex_match,string_dist_osa
14467,926ec0e280025ce4,V6,e94ffc2dc0bd8eeb,location 13,muningaini,0,11
14464,926ec0e280025ce4,V2,1522eeda760a7b3b,location 13,muringaini,0,11
18660,ca24e53fd90e946f,V1,f7a402d3cd2a2a68,location 13,ngutu,0,10
18661,ca24e53fd90e946f,V4,2bb0430cd71e2110,location 13,ngutu plot,0,10
12959,81c1b5557f2d9e17,V10,39b3bfdd67d43092,location 13,north mathioya river,0,14
11179,6d9ead72f71f0f38,V1,88ff702c8469d5dd,location 13,nyakyanga,0,9
734,05a63324962a7d29,V8,a5fc83f355081bfa,location 13,priory forest,0,11
730,05a63324962a7d29,V3,6dec2db17058464e,location 13,prohibited area,0,12
731,05a63324962a7d29,V4,ec6fb4adf19965d4,location 13,rwathia road,0,10
732,05a63324962a7d29,V5,27d63fb5c5233a6d,location 13,rwathia road loc 12,0,14
733,05a63324962a7d29,V6,3acc0ca71642ba4f,location 13,rwathia school,0,12
14046,8f0428636e393fe5,V2,5cab9d4f791b0430,location 13,rwathia sublocation,0,14
14045,8f0428636e393fe5,V1,9fed1d1ed6cc509d,location 13,thynnes,0,9
11182,6d9ead72f71f0f38,V9,7ada551ab08e394f,location 13,wyakyanga,0,9
16262,a8be85077cc8b45e,V1,41d63b63f0c76f72,location 13,yakerango,0,10
3548,1c804d170a2d854f,V9,1f540ff5141d6dec,location 14,fort hall,0,9
5806,329efae6f4f65353,V4,f578fcb686e797a8,location 14,gadhera,0,10
20656,eb656bb428da8acf,V1,adf7161e2bffb9be,location 14,gakoi,0,9
10478,64baff9c6d0cbd3a,V1,228a768fa9f61f5c,location 14,gakui,0,10
1269,0a9f87c42be1dd24,V5,ade464152b424482,location 14,gakurwe,0,10
5807,329efae6f4f65353,V7,9bf899c6c789dcc7,location 14,gathera,0,9
15003,99302e8721c7d3e2,V2,e9bf56c2b2c3f3d9,location 14,gathukiini,0,10
20658,eb656bb428da8acf,V7,c679fccdad1d675b,location 14,gikoe,0,10
20659,eb656bb428da8acf,V8,8d14ed0d91c38f61,location 14,gikoi,0,10
1273,0a9f87c42be1dd24,V9,170cc65e242f3cd1,location 14,gikondi,0,9
1271,0a9f87c42be1dd24,V7,b3ee34c93ec3c0c4,location 14,gikondi loc,0,11
1272,0a9f87c42be1dd24,V8,56995109a0ff8d4f,location 14,gikondi loc snr,0,12
15343,9cfddee7b50a0e8b,V2,28866fefdfca4313,location 14,githua,0,10
4971,2a1e1fa0825dd0ae,V10,9ad6b86d53d24906,location 14,githugi,0,10
3547,1c804d170a2d854f,V4,e08db718cf104556,location 14,githumu,0,10
6991,3f4090aaeeb2e31e,V7,f947791534db97ec,location 14,hembe,0,11
1341,0b13759954f32981,V6,a571482a27ef274e,location 14,iruri,0,10
2316,128343f54d6184dd,V10,f7beca2d73fff1b2,location 14,kagima coffee nursery,0,18
2313,128343f54d6184dd,V6,676d9a9937abe519,location 14,kagimacoffeenursery,0,17
2314,128343f54d6184dd,V7,88bfb01b3dc15b3b,location 14,kagumioni guard post,0,16
16016,a56604c55596b04e,V5,5dd66eb8da090262,location 14,karuthi primary school,0,19
19409,d63ce9c5dcd5d9fd,V2,e65d697529acd9bb,location 14,north mathioya valley,0,15
20657,eb656bb428da8acf,V2,29a20ef01594a77f,location 14,nyakiangasublocation,0,15
4483,25933c1865f83e60,V3,ae7390c5fc3a5de7,location 1415,mugumangosublocation,0,17
7200,410a8457180d44ca,V9,3bd1f7141936e4f9,location 15,fort hall,0,9
4220,22b2345b5c105dbd,V1,b096542e98109339,location 15,gaku,0,10
14576,93b471176b738f15,V3,fe107641728a1a8c,location 15,gakurue,0,10
14575,93b471176b738f15,V2,2e09921743a73475,location 15,gakuruwe,0,10
14574,93b471176b738f15,V1,e525f2b1510b939c,location 15,gakurwe,0,10
1256,0a7909f15b00182c,V5,bce5c96d5b5df117,location 15,gakuyu,0,10
4222,22b2345b5c105dbd,V6,76d6ff1a809e4f44,location 15,gakuyu sublocation,0,13
9171,55f4ba158b646ee9,V1,82af9787053c3b9d,location 15,gathukeini,0,10
3348,1acbc2e03ec87319,V2,86daf531cb7924a2,location 15,gathukiini,0,10
3890,1fecb4047bb45000,V1,8ec045db93c573ba,location 15,gaturi,0,9
5379,2e3214e2c88f2379,V6,1f95b72b663643b9,location 15,kiamuri primary school,0,20
20468,e84ba5caa5b28196,V7,b9eb784381077cf2,location 15,kimathe sublocation,0,14
20469,e84ba5caa5b28196,V8,08bca7035cea8e50,location 15,kimathi sublocation,0,14
14757,95ef5ee290e14408,V2,aa351288cb3b2802,location 15,muranga kiriaini roads,0,18
14579,93b471176b738f15,V9,a9f63f88aff01262,location 15,siha,0,10
14578,93b471176b738f15,V8,9d6507d4cb8f045e,location 15,surusuru,0,11
145,00d6fffd56813d2e,V8,c9846cbd52871681,location 15,wathinga,0,8
10110,60ab0d5d23e38771,V4,e99a295c5169b4ce,location 15,yamugwe,0,10
10112,60ab0d5d23e38771,V8,9871a4f3bb1ed555,location 15,yamugwe sublocation,0,14
10111,60ab0d5d23e38771,V5,e57117db1474e06d,location 15,yamugwesublocation,0,13
2931,17d104610fb2dfa6,V1,152a44ecd5de733d,location 16,gatakaini,0,9
2935,17d104610fb2dfa6,V6,2b72afa546ffc135,location 16,gituamba,0,10
15734,a20e6f7696fd1bb7,V10,1ffe0eb4f778139c,location 16,hesselbergers,0,13
2932,17d104610fb2dfa6,V2,ff90d7da46f83740,location 16,kagari shooping centre,0,17
2934,17d104610fb2dfa6,V5,97c4a30296dae1c9,location 16,kamacharia shoping centre,0,19
8304,4d7b085b1ff3094e,V2,5dd133d71f05d9be,location 16,matundu,0,8
2933,17d104610fb2dfa6,V3,3bfebe5849bd8dd6,location 16,mbugiti,0,10
8305,4d7b085b1ff3094e,V3,43f125f4d4644038,location 16,mukarara,0,10
8306,4d7b085b1ff3094e,V4,ab63e3913e91ecee,location 16,mukarara sublocation,0,15
15732,a20e6f7696fd1bb7,V6,393361875d396f4e,location 16,uaso nyiro settlement,0,18
15751,a25b0e1401dc2862,V7,50042477304ffd70,location 16,wanyaga sublocation,0,14
1290,0aa9fb3315802a67,V4,6097225ed2f38ee6,location 17,keith timber mills,0,15
16105,a66824ed3cb3b072,V4,0f4de38e8e79ed6d,location 18,ack st philip primary school,0,25
16344,a9853efd4707fd03,V2,39107269ad6b7828,location 18,burguret estate,0,14
17871,bd170faae1089aaa,V5,45197ed3375a4e3a,location 18,githima sublocation,0,14
16107,a66824ed3cb3b072,V6,8e9495f0cd3ad2ed,location 18,hangingtarn,0,11
17872,bd170faae1089aaa,V9,d8b474d7b85acc8e,location 18,kandare,0,10
16347,a9853efd4707fd03,V8,bfdbb70d2f500c5f,location 18,kariua,0,9
16346,a9853efd4707fd03,V7,e90c2af37fd88add,location 18,kariuasublocation,0,12
21346,f5edaee164c3666e,V3,d2aeb92df2b7c77d,location 18,katito,0,8
3523,1c6120dfd1c3f5b1,V4,b92cde0607120919,location 18,keiriangoro,0,10
17870,bd170faae1089aaa,V4,9598d443d4b291ea,location 18,kiahiti,0,9
9220,56b8a21c2e1732d6,V10,2035ba1963aa3b72,location 18,kigumo,0,10
1765,0dbac27cc9b4ea77,V7,b44616828270a642,location 18,kiiriangoro,0,10
1767,0dbac27cc9b4ea77,V9,48a3754119b4446c,location 18,kiiriongoro,0,9
17869,bd170faae1089aaa,V3,34904838aae66a64,location 18,kimande,0,9
3521,1c6120dfd1c3f5b1,V1,1b63dccd08f4d684,location 18,kirere,0,10
1766,0dbac27cc9b4ea77,V8,75ae3f1dc698beef,location 18,kirere sublocation,0,13
3522,1c6120dfd1c3f5b1,V3,a752ebec5514920e,location 18,kireri,0,10
16348,a9853efd4707fd03,V9,6beb1b9fec496efe,location 18,littlewoods farm,0,13
16103,a66824ed3cb3b072,V1,a475989ade254c46,location 18,mureru burguret road,0,19
16104,a66824ed3cb3b072,V2,8946eb2a3606a704,location 18,naro moru river lodge,0,18
4373,245024f79da3d971,V6,f828663e74956ac1,location 19,gacharageini sublocation,0,19
13786,8c414d420c4e9e08,V2,7c046ef35f696d5b,location 19,kiawambogo sublocation,0,17
13785,8c414d420c4e9e08,V1,bdd7406068b30305,location 19,south mathioya valley,0,15
18566,c874fc9a88060f3b,V6,8b0325f4bde4b618,location 2,forest border of loc,0,16
279,022abc6a840f4697,V5,eebe335dfad988ca,location 2,gacharage sublocation,0,15
20518,e961d58a18903111,V5,ac44ae98387cd005,location 2,gichagiini sublocation,0,16
20514,e961d58a18903111,V1,835c18c483739ea0,location 2,gichagiinisublocation,0,15
18092,c0b709e569721437,V2,a87c462561f2eeb0,location 2,gituamba agriculture experimental farm,0,33
18093,c0b709e569721437,V4,d6ea85364049fa53,location 2,gituamba experimental farm,0,22
18094,c0b709e569721437,V7,c13270290e2b81a3,location 2,gituambaagricultureexperimentalfarm,0,31
20937,efd9ec0c3818b445,V1,671940ec5a3e8822,location 2,gituru,0,9
9333,583947a77be8f505,V5,72566ab8b2f0f4ac,location 2,iahuho,0,9
19188,d1dcec3828e776c7,V9,80b7cf066e42cb3f,location 2,idherui,0,10
276,022abc6a840f4697,V1,90465d65040c14fa,location 2,ikumbi,0,9
17182,b534d543a1a9e089,V10,6d2ab75143a0ac03,location 2,irati,0,7
2596,14ed1782694593c6,V6,e90fececb551132b,location 2,iriguini,0,8
11486,717cc0f407bf8402,V1,a7ef937f15b1d250,location 2,kaanja,0,8
7733,4772e491e29bda7d,V1,df0775792419ccb7,location 2,kagondu,0,7
7734,4772e491e29bda7d,V2,f9184c162781f248,location 2,kagundu,0,8
20516,e961d58a18903111,V3,d6a03e44b5dbfa55,location 2,kaiheho,0,8
20517,e961d58a18903111,V4,3af02151e73a7841,location 2,kaiheo,0,8
5422,2ea700d72a3a1c0b,V1,d9b2f30dbc722db7,location 2,kamokabi,0,9
5424,2ea700d72a3a1c0b,V3,6e4da15d62693b93,location 2,kamukabi,0,9
2554,14517735fd2117c4,V1,3f845a8ec2248e45,location 2,kamune,0,8
1165,0990563233d606af,V1,7b26bc4da472fede,location 2,kanderendu,0,9
10256,62291ed2e5cd4680,V2,81aa6cc9b53c1f7a,location 2,kanderrendu,0,10
11734,74392f999345997b,V10,cd3214ce7c3a7755,location 2,karinga,0,7
10472,64983da7bfc5d163,V6,cbc847a9e445b762,location 2,karuri,0,9
2914,177ca7196d929970,V3,c4eb9b02f708c4b9,location 2,karuruma,0,9
2913,177ca7196d929970,V2,d68391c8b4670b81,location 2,karurumo,0,9
9332,583947a77be8f505,V2,2712faea53abfb9d,location 2,kiaheho,0,9
9331,583947a77be8f505,V1,f83d03f8ed1289e6,location 2,kiahuho,0,9
20519,e961d58a18903111,V9,7a5e0483b545f95b,location 2,kiaiheho,0,8
2597,14ed1782694593c6,V8,de7fca9d21cd34f4,location 2,kigumo,0,9
8501,4f3234420c10cd99,V1,f7f5efd4b68bd914,location 2,kinyona,0,8
9296,57df9ac2e4d06e9a,V1,32395e6dd9bcabf0,location 2,kinyona location,0,10
11051,6ccb90f17a529fa4,V4,0a20a6ca390e8635,location 2,kinyona sublocation,0,13
11050,6ccb90f17a529fa4,V1,e1cdd58ed0c730b9,location 2,kinyone,0,8
19187,d1dcec3828e776c7,V7,9b2d2b3de4c77997,location 2,kirere,0,9
19186,d1dcec3828e776c7,V6,507ef65702457450,location 2,kireri,0,9
7735,4772e491e29bda7d,V10,0dc93983aac4219e,location 2,kiringa,0,8
20939,efd9ec0c3818b445,V3,f6b69480e4062d6d,location 2,makambuki sublocation,0,15
20938,efd9ec0c3818b445,V2,d757587747b8cc87,location 2,makambukisublocation,0,14
20941,efd9ec0c3818b445,V5,0151046e1be0dcae,location 2,makomboki sublocation,0,15
1478,0bc4caaf0ce41e2b,V6,d1dc2ae09c6dc38c,location 2,mariira primary school,0,19
18565,c874fc9a88060f3b,V3,8887cb8e1a3a029d,location 2,mununga forest guard post,0,22
18564,c874fc9a88060f3b,V1,7175c7b95c4fae48,location 2,munungaforestguardpost,0,20
17952,bed6947f0d2796cc,V1,48a5ee8ceba935d9,location 2,munungaichichi road,0,16
19185,d1dcec3828e776c7,V4,1f6745bf5632c278,location 2,mutunguru primary school,0,22
18690,ca5a0e44efa70d2d,V10,fd2deddd5d368e46,location 20,gatareforeststation,0,16
20463,e8363b7dbe0aa516,V10,8f7cbfcd5cdd94af,location 20,lolpejeta ol doinyo,0,14
207,017c62bed1673490,V4,fd2f512ce6357b49,location 23,kiawambogosublocation,0,16
21257,f44979bc30b85a16,V2,48a5ee8ceba935d9,location 29,munungaichichi road,0,16
7792,483dd46beddab6a0,V1,a526d6eed835896d,location 3,airagwani,0,8
1683,0d13d4a13abf425d,V1,f10e77654e838109,location 3,ceronge,0,7
1684,0d13d4a13abf425d,V2,a666fdfa1d69d11a,location 3,cheronge,0,7
5468,2f3637566fedd095,V6,197242c86f8c3431,location 3,cole estate,0,10
5465,2f3637566fedd095,V3,161ee69a64ba34c4,location 3,coles estate,0,11
9392,58fabe10088c594e,V9,f7db18492d1763c2,location 3,cooks farm,0,9
9972,5ef48bb3c9f85ef3,V5,eafc079b897911c3,location 3,enabatatouwaru,0,11
18491,c6b5de586ea20a33,V4,5cf1145a6b318af5,location 3,engare moyok,0,10
21240,f4353cbf3872b6a3,V8,c9c6d0873f38f302,location 3,engare naromoru,0,13
21238,f4353cbf3872b6a3,V5,30c3d94c34324885,location 3,gadhika,0,9
3086,195eadb156dc922f,V2,fcba9a18c79e1545,location 3,gatangara,0,9
18496,c6b5de586ea20a33,V10,f98b311505fb8016,location 3,githumosublocation,0,12
9969,5ef48bb3c9f85ef3,V1,e8a29e4412e8d111,location 3,gituru,0,9
5464,2f3637566fedd095,V2,6639a8936b04b24e,location 3,golas estata,0,10
5463,2f3637566fedd095,V1,f0d2aa5a5aaa13e1,location 3,goles estate,0,11
7793,483dd46beddab6a0,V2,b4e8576af85091bf,location 3,huths farm,0,10
18495,c6b5de586ea20a33,V9,5ec5b11472c946fe,location 3,kabaribari,0,8
3087,195eadb156dc922f,V4,926731cff528a444,location 3,kairichisublocation,0,13
9973,5ef48bb3c9f85ef3,V8,8c31fb64c20b1ab0,location 3,kanunga,0,8
5930,34339948a2851b11,V6,df764ec98a0ec587,location 3,kariua,0,8
5928,34339948a2851b11,V4,fda1b2a7323787b7,location 3,kariura,0,8
5929,34339948a2851b11,V5,1913af3c43c48c90,location 3,kariuwa,0,8
9971,5ef48bb3c9f85ef3,V3,e488a5274391cd04,location 3,kiangari,0,9
5926,34339948a2851b11,V2,2fee7a7e2a8c59d8,location 3,kirigithu,0,9
5927,34339948a2851b11,V3,6b998f7d0117c2cf,location 3,kiriuwa,0,9
9970,5ef48bb3c9f85ef3,V2,54a3ab921205f21d,location 3,kiruga,0,9
5466,2f3637566fedd095,V4,1fc9d36c8bebd9a6,location 3,kuhles farm,0,11
16432,aa95a680466b2297,V1,d1dc2ae09c6dc38c,location 3,mariira primary school,0,19
7795,483dd46beddab6a0,V7,a475989ade254c46,location 3,mureru burguret road,0,19
5467,2f3637566fedd095,V5,6c583c0ebbe91d7b,location 3,naro moru mweiga road,0,18
7796,483dd46beddab6a0,V8,8946eb2a3606a704,location 3,naro moru river lodge,0,18
7797,483dd46beddab6a0,V10,125c038c3f10f87b,location 3,naromoru mweiga murram road,0,24
9389,58fabe10088c594e,V4,143127aee9ec0b9b,location 3,solio ranch limited,0,15
18493,c6b5de586ea20a33,V7,c0c2cb2e685fb39e,location 3,ssbastards farm nanyuki,0,20
3088,195eadb156dc922f,V5,43c6f1da45368035,location 3,therikahatia sublocation,0,18
3085,195eadb156dc922f,V1,045bdb160fba5d9c,location 3,therikahatiasublocation,0,17
9358,586f407e0970f02b,V3,dd6484ba1b167764,location 4,kagima coffee nursery,0,18
11780,74966c68810c57f7,V1,12333257d83ec846,location 4,kandara  thika road,0,15
11221,6e34252b52d4f2c3,V4,a58e727459a2d6c1,location 4,kandara boma,0,11
19077,d0b078eaad83ae20,V3,8b19a39a65234560,location 4,kariara,0,8
17102,b4563b13a570796a,V1,c60f6837191b2146,location 4,karimamwaro,0,11
799,069e4b048fe586d9,V1,7de9e496f1cd3d72,location 4,karumu,0,9
5817,32bcf4e8ff2f9de0,V6,89135280735257a2,location 4,kiaguthu,0,9
13535,88bfca1e98fb4a5f,V3,fa46993b21b8cf1e,location 4,kiama,0,9
9610,5bdc28d52bb4831f,V2,a4414248b8844054,location 4,kiamara,0,9
9611,5bdc28d52bb4831f,V3,9d4ff270fb5f3242,location 4,kiangunyi,0,8
11219,6e34252b52d4f2c3,V2,378f9a35ecb563a6,location 4,kianjiro,0,9
9612,5bdc28d52bb4831f,V4,0bb488a102964ca9,location 4,kibutha,0,9
8507,4f38c919ced8dc10,V3,f8acd629fc1c18c8,location 4,kiganio,0,7
17948,be6112993712817f,V4,acdf288d9f6ad9a1,location 4,kigongo,0,8
17946,be6112993712817f,V1,5de434a69dc3948a,location 4,kigongo sublocation,0,13
11220,6e34252b52d4f2c3,V3,5e55533be3b2ec42,location 4,kihumbuini,0,10
10119,60cbb272671894da,V1,badb345a9dbe6570,location 4,kiiri,0,9
17949,be6112993712817f,V8,bf98045f28393129,location 4,kimathe,0,8
17950,be6112993712817f,V10,b3f4991faba9b44d,location 4,kimathi,0,8
11218,6e34252b52d4f2c3,V1,61196987e8f925e1,location 4,kiranga,0,8
11782,74966c68810c57f7,V7,41582555793c49a2,location 4,kiranga sublocation,0,13
5963,34afef7651dbfcc7,V5,cf8c742971f22e7e,location 4,kirangamuruka,0,12
11781,74966c68810c57f7,V6,5a046674c6f629ca,location 4,kirangasublocation,0,12
8509,4f38c919ced8dc10,V5,86292e47c49aeac6,location 4,kiriaini,0,8
8508,4f38c919ced8dc10,V4,f41f10990a2769b1,location 4,kirimamwaro,0,11
14994,9924ba90bcdbfa51,V1,4e26956fee430451,location 4,kitlinguri,0,10
19430,d6874d8ef1de4ed0,V1,1266b167067443aa,location 4,kiunya,0,8
19433,d6874d8ef1de4ed0,V6,cb552b3b163b826b,location 4,kiunyu,0,8
9613,5bdc28d52bb4831f,V7,040dac327395bcc0,location 4,koimbi,0,8
9609,5bdc28d52bb4831f,V1,86de72fe08af0e24,location 4,koimbi sublocation,0,12
14997,9924ba90bcdbfa51,V4,b1e31f89fd08c160,location 4,kuhora twana,0,9
13536,88bfca1e98fb4a5f,V4,22a192f737f59390,location 4,kyama,0,9
14999,9924ba90bcdbfa51,V6,6f08615779afa994,location 4,lions court,0,8
9614,5bdc28d52bb4831f,V8,d715f8fc7b407959,location 4,location 10,0,2
9356,586f407e0970f02b,V1,0bd7eddff5f0c086,location 4,location 18,0,2
802,069e4b048fe586d9,V10,077fa7b07b6a26db,location 4,murukakandara road,0,16
15000,9924ba90bcdbfa51,V7,8b75e392945e5a86,location 4,st moses primary school,0,20
11955,773a5b3e3e3afb0a,V5,43c6f1da45368035,location 4,therikahatia sublocation,0,18
11952,773a5b3e3e3afb0a,V1,045bdb160fba5d9c,location 4,therikahatiasublocation,0,17
12518,7cbcdd6c1cb7e501,V7,1015337f1619bf35,location 5,forest nrliki river,0,15
8372,4e2728f208ddb33e,V10,714f1688bfcf0a26,location 5,fort hall  thika road,0,16
15380,9d5d2571acdc3099,V3,1b31bd78d67ca4ab,location 5,githunguri school,0,16
14834,96f552887f898a73,V7,7d63d083c25342fc,location 5,st moses primary school,0,20
9661,5c2f867ebb5a7206,V5,382c4e1efff45744,location 6,githunguri primary school,0,23
9663,5c2f867ebb5a7206,V9,fb9ab548a09af420,location 6,kihuti coffee factory,0,17
13926,8df4dc9e58cde7e8,V2,12b7131115868ed8,location 6,kings medical college,0,18
2851,16d4689dcf3c80ad,V2,7775686643a9acb5,location 6,location 4,0,1
13929,8df4dc9e58cde7e8,V5,abc7c62e75afbecd,location 6,naru moro safari camp,0,18
13927,8df4dc9e58cde7e8,V3,bceaf385f25c6077,location 6,nyeri junior  senior school,0,23
18163,c1be9b2b8059d7c5,V2,a188eb9128b69d7c,location 617,kiangaisublocation,0,14
18171,c1be9b2b8059d7c5,V10,fa0cc9522ddccfc2,location 617,kirinyagadistrict,0,15
18669,ca2717fafde5376f,V8,45c71e8dd60ee0ef,location 7,maragua district,0,14
18667,ca2717fafde5376f,V2,e87384ba09584003,location 7,maragua station,0,12
18668,ca2717fafde5376f,V3,626d14c546fb0b41,location 7,maragwa,0,9
20168,e2907c9df59b6be4,V1,0895a622a5aa2942,location 7,upper kahuti,0,12
20169,e2907c9df59b6be4,V2,b5af8cb50429d712,location 7,waithaga,0,8
20170,e2907c9df59b6be4,V3,fe6781f251ab87e8,location 7,weithaga,0,9
20733,ec854681d924f340,V2,13cfb0f8103c116a,location 8,fort hall,0,8
12711,7ebc197bb964b07a,V2,0e5399f1f9b517a7,location 8,gacharage,0,9
19650,d9e2669e4cdcb4ff,V5,ac0507c18d225dcb,location 8,gatangara,0,9
1208,09f86859824e028a,V6,fd6246b30cc2ef83,location 8,gatara,0,8
6376,396fbaf73cac8d18,V6,e1ae18e02f28023f,location 8,gatara sublocation,0,12
6373,396fbaf73cac8d18,V3,ea7f4599e4fb2d7f,location 8,gatarasublocation,0,11
11121,6d493d10ae505f85,V8,63c7a847ceeb60ca,location 8,gathaithi,0,9
6371,396fbaf73cac8d18,V1,addd3c1dd451d4b0,location 8,gathara,0,8
15837,a383ce67e8f4eddc,V6,5da48171bd1e1e47,location 8,gathiga,0,8
21582,f9e383bc90df5c1b,V2,232ba29e183e17a3,location 8,gaturi sublocation,0,12
21584,f9e383bc90df5c1b,V9,3fbfadaf94a03a71,location 8,gaturisublocation,0,11
15442,9ded5e709bd414b2,V2,f0bbd90a7cfff7aa,location 8,gatuya,0,8
15445,9ded5e709bd414b2,V10,e0e89169da1b5d2b,location 8,gatuya sublocation,0,12
15441,9ded5e709bd414b2,V1,6c39937248a96b30,location 8,gatuyasublocation,0,11
1205,09f86859824e028a,V2,35517145713c7c84,location 8,githambo,0,9
1206,09f86859824e028a,V3,eaf20b1621554355,location 8,githame,0,9
15838,a383ce67e8f4eddc,V7,a364cdbe50b6c864,location 8,githiga,0,9
1204,09f86859824e028a,V1,4ac768e1319e5dc6,location 8,githumbo,0,9
11619,72e50c4ea2518050,V4,1adefe268b1f584e,location 8,huririandia,0,9
20738,ec854681d924f340,V7,4433126a4ab326b1,location 8,iboi,0,9
21585,f9e383bc90df5c1b,V10,a30f9c05cb87d96c,location 8,ihinga,0,8
20736,ec854681d924f340,V5,8c2ab0c034978017,location 8,kagaa,0,9
8793,51f6ddcb658f36c3,V7,5fecf9b3cb229f7c,location 8,kaganda,0,8
8792,51f6ddcb658f36c3,V6,6d7175fa6eeef35f,location 8,kaganda sublocation,0,13
15444,9ded5e709bd414b2,V6,7a9bf389ec2db048,location 8,kahithe,0,8
17634,ba99d3df605d4bbd,V7,bd5a878cb9a8deec,location 8,kahuro,0,9
21294,f4ff0ca2b2cbc92d,V10,f3b457fa4af3ced1,location 8,kahuti,0,8
15835,a383ce67e8f4eddc,V1,2bcb434ace1d4187,location 8,kaiahwe valley,0,13
8790,51f6ddcb658f36c3,V2,a56f11a46918b82f,location 8,kairichi sublocation,0,14
8791,51f6ddcb658f36c3,V5,926731cff528a444,location 8,kairichisublocation,0,13
16468,ab12357815d26cef,V4,118203cc358eb54d,location 8,kanyuira,0,9
15443,9ded5e709bd414b2,V5,2afc7f229e582cb9,location 8,kariara,0,8
20739,ec854681d924f340,V8,89135280735257a2,location 8,kiaguthu,0,9
15836,a383ce67e8f4eddc,V2,596d902fe1939714,location 8,kibutha,0,9
20732,ec854681d924f340,V1,7a663342b22b904b,location 8,kigando,0,8
16467,ab12357815d26cef,V1,41ec0d56b20a23da,location 8,kihoya,0,9
2117,10856edefaf76e1b,V8,3a87cc1ded56b575,location 8,mathariti sublocation,0,15
6374,396fbaf73cac8d18,V4,a198bf70e1ab56e7,location 8,mhondi,0,8
20734,ec854681d924f340,V3,2f9ba5a04303bbbd,location 8,mugoiri location,0,10
20619,eabb15e00bc8083a,V1,701733cc6c199551,location 8,mununga,0,9
1207,09f86859824e028a,V4,554a515b0fa59802,location 8,murarandia,0,9
11618,72e50c4ea2518050,V3,4bdf7fbb5f8159c6,location 8,murarandia one,0,11
6377,396fbaf73cac8d18,V9,c70fcc5e7bd8a138,location 8,murarandia two,0,12
17635,ba99d3df605d4bbd,V8,7c9d81bd0dae28e4,location 8,murarandia1,0,10
2114,10856edefaf76e1b,V1,aa4af94644918114,location 8,murarandia2,0,10
11620,72e50c4ea2518050,V5,d7b6e1dc9e2e0425,location 8,murarandialocation 8,0,10
11617,72e50c4ea2518050,V2,2597628bb96ec322,location 8,murarandiaone,0,10
2116,10856edefaf76e1b,V5,7f2388fbf3b13364,location 8,murarandiatwo,0,11
8789,51f6ddcb658f36c3,V1,b0de7d8ca28726af,location 8,murirandia,0,10
20735,ec854681d924f340,V4,3e9a76d4e2600c1d,location 8,muriranjas,0,10
14628,94afe5e1115ce75d,V4,24023f227b25b69e,location 8,muririanda,0,8
11621,72e50c4ea2518050,V6,1abf646231319ffc,location 8,muririandia,0,9
21581,f9e383bc90df5c1b,V1,cf199fbfad1f75af,location 8,ngaru,0,9
20737,ec854681d924f340,V6,a734a0bdf548709f,location 8,ngerere sublocation,0,13
12713,7ebc197bb964b07a,V8,4c6bf3d21365d6a5,location 8,nr lariira,0,9
2115,10856edefaf76e1b,V4,6a1efe66b7af29e8,location 8,nuralandia fort hall,0,16
17137,b4e2ede006d22a9f,V4,fc14729f33b7ab01,location 8,nurariandia fort hall,0,17
19651,d9e2669e4cdcb4ff,V6,045bdb160fba5d9c,location 8,therikahatiasublocation,0,17
11185,6dcd006464c1f8ae,V3,5409f51b7c873263,location 89,therikahatia sublocation,0,19
11186,6dcd006464c1f8ae,V10,045bdb160fba5d9c,location 89,therikahatiasublocation,0,18
6267,3896345dffb422d5,V1,8b0325f4bde4b618,location 9,forest border of loc,0,16
4766,28d155c8df930f21,V2,a94fba8affa74243,location 9,kairo  kiruri loc 14,0,16
5384,2e3e57c2df3fe929,V2,792ae80db836ea18,location 9,kanyenyeini sublocation,0,17
6848,3e0a9a49227845d0,V7,d5fd2dbd9647e697,location 9,kihoya trading centrefort hall,0,24
21707,fc96e177322e6a2e,V1,f5c3165c9aa4f4b2,location 9,kirurigithambo road,0,17
4769,28d155c8df930f21,V10,98d9689c297be498,location 9,kiruriichichi road,0,16
21522,f92e3f74faa2e9cb,V3,878aca9e12119e9b,location 9,location 16,0,2
6268,3896345dffb422d5,V2,7ecaba25fab956f1,location 9,mununga forest guard post,0,22
6270,3896345dffb422d5,V6,7175c7b95c4fae48,location 9,munungaforestguardpost,0,20
21222,f3ddfeac5273be02,V5,01f4f88df6acdf2b,locations 9 and 10,gitugu,0,17
21220,f3ddfeac5273be02,V3,db5573b3db37b5b3,locations 9 and 10,kanyenyeini,0,15
6814,3d622255b520add1,V6,87eb8ba9033650dc,londiani,kuresoichepsir road,0,17
17063,b3c85e4619628682,V7,c0b7faf70a65094b,londiani,pomc compassion international,0,24
4260,2325d80ee620c427,V7,7e49c54419107b7d,londiani maji mazuri,kibokofarm,0,17
4261,2325d80ee620c427,V8,4c1c454425cb3dec,londiani maji mazuri,mau,0,17
18567,c8a166450509f718,V1,22d937e5f3842f43,long,marmanet settlement,0,17
14223,9053e7504167582a,V6,cb460a0e93ceaf31,losowani,dida gilana farms,0,15
7023,3f920ef5a7759635,V3,b6b21343df918cac,lucys farm,goodhindes squatter,0,16
20433,e76d8a448802a57a,V10,0f8e47a1d1d0966f,luoniek estate,narok estate limited,0,14
4722,283a6dacfd531e8a,V5,af92e5718cc20559,lydford farm,isiolonativeleaseholdarea,0,22
